Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
158,Fire Team,Military Police,Rookie,Advanced Weaponry,Centralized,Adequate,150,Mechanized Infantry,Standard Equipment,Medium,Weak,Peacekeeping,Arctic,Extreme Cold,Day,None,Yes (Artillery),Guerrilla Tactics,Observe and Report,1
6,Company,Combat Medic Team,Rookie,Basic (Limited Ammo),Centralized (Strict Hierarchy),Basic,401,Light Infantry,Improvised Explosive Devices (IEDs),Fanatical,Weak,Reconnaissance,Urban,Heavy Rain,Night,None,Yes (Artillery & Close Air Support),Tactical Retreat,Weapons Free,6
773,Battalion,Special Forces,Rookie,Medical Supplies,Centralized (Strict Hierarchy),Overstocked,372,Irregular Militia,Advanced Communication,Medium,Weak,Eliminate Enemy Force,Suburban,Snow,Day,Medium,No,Guerrilla Tactics,Weapons Free,8
664,Battalion,Armored,Mixed,Standard Issue,Centralized (Flexible),Minimal,317,Special Forces,Sniper Teams,High,Incompetent,Secure Objective,Desert,Sandstorm,Day,None,Yes (Naval Gunfire),Guerrilla Tactics,Return Fire Only,4
9,Company,Infantry,Rookie,Medical Supplies,Centralized,Minimal,200,Light Infantry,Standard Equipment,Low,Tactical Genius,Counter-insurgency,Jungle,Snow,Dawn,Medium,Yes (Artillery & Close Air Support),Static Defense,Weapons Free,7
5,Company,Armored,Veteran,Medical Supplies,Centralized,Overstocked,172,Mechanized Infantry,Improvised Explosive Devices (IEDs),Fanatical,Competent,Cyber Defense,Arctic,Blizzard,Dawn,Low,Yes (Air & Artillery),Patrolling,Return Fire Only,4
6,Squad,Special Forces,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Minimal,217,Armored,Standard Equipment,Low,Competent,Reconnaissance,Jungle,Sandstorm,Dusk,High,Yes (Artillery),Infiltration,Return Fire Only,1
26,Company,Military Police,Rookie,Advanced Weaponry,Decentralized,Minimal,336,Light Infantry,Advanced Communication,Low,Incompetent,Reconnaissance,Suburban,Sandstorm,Dawn,Low,Yes (Artillery),Aggressive Push,Weapons Free,5
36,Battalion,Mechanized,Mixed,Advanced Weaponry,Centralized,Minimal,326,Mechanized Infantry,Advanced Communication,High,Competent,Cyber Defense,Mountain,Extreme Cold,Dawn,None,No,Guerrilla Tactics,Minimize Collateral Damage,1
44,Platoon,Special Forces,Veteran,Standard Issue,Centralized (Strict Hierarchy),Basic,257,Light Infantry,Improvised Explosive Devices (IEDs),Low,Competent,Counter-insurgency,Arctic,Heavy Rain,Dusk,Medium,Yes (Air Support),Tactical Retreat,Weapons Free,8
6,Platoon,Armored,Elite,Standard Issue,Centralized,Overstocked,192,Guerrilla,Advanced Communication,Low,Strong,Rescue/Evacuation,Coastal,Sandstorm,Day,Medium,Yes (Naval Gunfire),Guerrilla Tactics,Minimize Collateral Damage,6
493,Squad,Special Forces,Mixed,Riot Gear,Decentralized,Overstocked,439,Guerrilla,Improvised Explosive Devices (IEDs),Fanatical,Competent,Counter-insurgency,Island,Light Rain,Day,None,Yes (Artillery),Guerrilla Tactics,Return Fire Only,3
12,Battalion,Mechanized,Mixed,Specialized Gear,Centralized,Minimal,359,Cyber Warfare,Sniper Teams,High,Strong,Counter-insurgency,Coastal,Extreme Cold,Night,Low,No,Patrolling,Weapons Free,7
121,Platoon,Engineers,Veteran,Standard Issue,Decentralized,Adequate,468,Light Infantry,Standard Equipment,High,Competent,Peacekeeping,Mountain,Cloudy,Night,None,Yes (Artillery),Infiltration,Non-Lethal Force Only,5
11,Squad,Mechanized,Mixed,Riot Gear,Decentralized,Basic,479,Light Infantry,Improvised Explosive Devices (IEDs),High,Weak,Counter-insurgency,Forest,Light Rain,Dawn,Low,No,Encirclement,Minimize Collateral Damage,7
39,Company,Engineers,Veteran,Medical Supplies,Centralized (Flexible),Basic,381,Cyber Warfare,Advanced Communication,Medium,Strong,Secure Objective,Rural,Extreme Cold,Dusk,Low,Yes (Artillery & Close Air Support),Tactical Retreat,Protect Civilians at All Costs,8
10,Company,Airborne,Elite,Standard Issue,Decentralized (Limited Communication),Basic,155,Armored,Standard Equipment,High,Tactical Genius,Reconnaissance,Jungle,Blizzard,Night,Medium,Yes (Air & Artillery),Guerrilla Tactics,Non-Lethal Force Only,7
8,Fire Team,Engineers,Rookie,Medical Supplies,Centralized (Flexible),Overstocked,495,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Tactical Genius,Rescue/Evacuation,Desert,Sandstorm,Day,High,Yes (Air Support),Static Defense,Protect Civilians at All Costs,6
5,Squad,Reconnaissance,Mixed,Standard Issue,Centralized (Strict Hierarchy),Adequate,24,Armored,Standard Equipment,Fanatical,Tactical Genius,Counter-insurgency,Rural,Fog,Day,High,Yes (Artillery & Close Air Support),Guerrilla Tactics,Weapons Free,4
39,Battalion,Special Forces,Veteran,Advanced Weaponry,Centralized (Flexible),Well-Supplied,134,Guerrilla,Standard Equipment,Fanatical,Competent,Cyber Defense,Forest,Blizzard,Night,High,Yes (Air Support),Static Defense,Observe and Report,7
136,Platoon,Special Forces,Mixed,Advanced Weaponry,Decentralized (Limited Communication),Overstocked,306,Armored,Advanced Communication,High,Charismatic Leader,Counter-insurgency,Suburban,Sandstorm,Day,None,Yes (Artillery),Aggressive Push,Protect Civilians at All Costs,4
96,Company,Reconnaissance,Mixed,Medical Supplies,Centralized,Basic,203,Drone Operators,Standard Equipment,Low,Strong,Secure Objective,Suburban,Clear,Night,None,Yes (Artillery),Static Defense,Minimize Collateral Damage,4
391,Squad,Military Police,Veteran,Specialized Gear,Centralized (Flexible),Adequate,168,Armored,Improvised Explosive Devices (IEDs),High,Strong,Infrastructure Protection,Forest,Light Rain,Dusk,High,Yes (Artillery & Close Air Support),Static Defense,Observe and Report,7
13,Platoon,Infantry,Veteran,Specialized Gear,Decentralized (Limited Communication),Overstocked,35,Drone Operators,Standard Equipment,High,Tactical Genius,Peacekeeping,Jungle,Fog,Dusk,None,Yes (Artillery),Aggressive Push,Weapons Free,6
151,Platoon,Airborne,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Basic,134,Armored,Advanced Communication,Low,Strong,Rescue/Evacuation,Forest,Heavy Rain,Dawn,High,Yes (Artillery & Close Air Support),Guerrilla Tactics,Return Fire Only,5
157,Squad,Airborne,Elite,Medical Supplies,Decentralized,Well-Supplied,289,Drone Operators,Improvised Explosive Devices (IEDs),High,Tactical Genius,Reconnaissance,Island,Sandstorm,Night,Low,Yes (Artillery & Close Air Support),Infiltration,Minimize Collateral Damage,6
140,Platoon,Combat Medic Team,Elite,Riot Gear,Decentralized,Adequate,142,Mechanized Infantry,Advanced Communication,Low,Charismatic Leader,Secure Objective,Suburban,Thunderstorm,Dusk,High,Yes (Naval Gunfire),Patrolling,Observe and Report,1
12,Platoon,Reconnaissance,Rookie,Riot Gear,Decentralized,Minimal,337,Guerrilla,Sniper Teams,Medium,Strong,Infrastructure Protection,Urban,Cloudy,Night,Low,Yes (Artillery & Close Air Support),Static Defense,Non-Lethal Force Only,5
376,Squad,Airborne,Rookie,Medical Supplies,Centralized,Overstocked,271,Light Infantry,Advanced Communication,Fanatical,Charismatic Leader,Infrastructure Protection,Forest,Cloudy,Day,High,Yes (Air & Artillery),Infiltration,Weapons Free,2
6,Squad,Armored,Mixed,Standard Issue,Decentralized,Well-Supplied,196,Special Forces,Sniper Teams,Low,Tactical Genius,Reconnaissance,Island,Thunderstorm,Night,High,Yes (Artillery),Aggressive Push,Minimize Collateral Damage,1
80,Squad,Special Forces,Elite,Riot Gear,Centralized (Flexible),Overstocked,287,Special Forces,Advanced Communication,High,Tactical Genius,Reconnaissance,Urban,Blizzard,Dusk,Low,No,Aggressive Push,Non-Lethal Force Only,9
9,Platoon,Airborne,Mixed,Basic (Limited Ammo),Decentralized (Limited Communication),Well-Supplied,346,Mechanized Infantry,Standard Equipment,Fanatical,Competent,Secure Objective,Arctic,Snow,Dawn,None,Yes (Artillery & Close Air Support),Infiltration,Observe and Report,9
101,Squad,Special Forces,Elite,Riot Gear,Centralized,Minimal,419,Cyber Warfare,Standard Equipment,Low,Strong,Reconnaissance,Forest,Sandstorm,Day,High,Yes (Artillery),Infiltration,Return Fire Only,3
5,Company,Combat Medic Team,Rookie,Advanced Weaponry,Decentralized,Overstocked,451,Special Forces,Sniper Teams,Fanatical,Weak,Cyber Defense,Urban,Extreme Heat,Dawn,Low,Yes (Artillery),Infiltration,Observe and Report,9
505,Fire Team,Airborne,Veteran,Riot Gear,Decentralized (Limited Communication),Minimal,190,Cyber Warfare,Sniper Teams,High,Charismatic Leader,Secure Objective,Suburban,Snow,Dawn,Medium,Yes (Naval Gunfire),Encirclement,Return Fire Only,6
12,Battalion,Special Forces,Rookie,Standard Issue,Centralized,Adequate,306,Special Forces,Sniper Teams,Medium,Weak,Cyber Defense,Rural,Light Rain,Dusk,High,Yes (Naval Gunfire),Encirclement,Non-Lethal Force Only,1
13,Squad,Mechanized,Veteran,Medical Supplies,Centralized,Minimal,138,Special Forces,Improvised Explosive Devices (IEDs),Medium,Weak,Rescue/Evacuation,Forest,Extreme Heat,Night,Low,Yes (Air Support),Static Defense,Non-Lethal Force Only,6
45,Platoon,Engineers,Elite,Riot Gear,Centralized (Flexible),Minimal,155,Armored,Advanced Communication,High,Charismatic Leader,Cyber Defense,Mountain,Sandstorm,Day,None,Yes (Artillery & Close Air Support),Tactical Retreat,Minimize Collateral Damage,9
947,Battalion,Combat Medic Team,Rookie,Standard Issue,Centralized (Flexible),Adequate,34,Cyber Warfare,Standard Equipment,Fanatical,Incompetent,Counter-insurgency,Jungle,Blizzard,Night,Medium,Yes (Naval Gunfire),Tactical Retreat,Weapons Free,5
235,Battalion,Special Forces,Veteran,Medical Supplies,Centralized,Adequate,494,Special Forces,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Reconnaissance,Mountain,Thunderstorm,Night,High,No,Guerrilla Tactics,Minimize Collateral Damage,3
6,Battalion,Combat Medic Team,Rookie,Specialized Gear,Centralized (Flexible),Well-Supplied,278,Armored,Improvised Explosive Devices (IEDs),High,Strong,Cyber Defense,Urban,Fog,Dusk,Medium,No,Encirclement,Return Fire Only,5
659,Company,Military Police,Veteran,Riot Gear,Centralized (Strict Hierarchy),Basic,347,Drone Operators,Advanced Communication,High,Charismatic Leader,Counter-insurgency,Suburban,Cloudy,Night,Medium,Yes (Air Support),Static Defense,Minimize Collateral Damage,9
9,Fire Team,Infantry,Elite,Standard Issue,Centralized (Strict Hierarchy),Well-Supplied,302,Special Forces,Advanced Communication,Medium,Charismatic Leader,Eliminate Enemy Force,Mountain,Sandstorm,Dusk,Medium,Yes (Artillery),Infiltration,Non-Lethal Force Only,5
6,Battalion,Reconnaissance,Rookie,Medical Supplies,Centralized (Strict Hierarchy),Overstocked,26,Armored,Sniper Teams,Low,Strong,Peacekeeping,Mountain,Sandstorm,Dawn,Low,Yes (Air Support),Patrolling,Non-Lethal Force Only,1
12,Fire Team,Special Forces,Veteran,Riot Gear,Centralized (Strict Hierarchy),Well-Supplied,316,Cyber Warfare,Standard Equipment,High,Strong,Counter-insurgency,Coastal,Thunderstorm,Night,Low,Yes (Naval Gunfire),Static Defense,Return Fire Only,7
110,Company,Airborne,Veteran,Riot Gear,Decentralized,Basic,451,Drone Operators,Advanced Communication,Fanatical,Weak,Infrastructure Protection,Forest,Blizzard,Dusk,Medium,Yes (Naval Gunfire),Aggressive Push,Return Fire Only,7
11,Squad,Engineers,Veteran,Standard Issue,Centralized (Strict Hierarchy),Minimal,278,Guerrilla,Advanced Communication,Fanatical,Strong,Rescue/Evacuation,Desert,Blizzard,Day,None,Yes (Artillery & Close Air Support),Tactical Retreat,Minimize Collateral Damage,9
105,Platoon,Engineers,Veteran,Riot Gear,Centralized (Strict Hierarchy),Basic,372,Special Forces,Standard Equipment,Fanatical,Competent,Eliminate Enemy Force,Forest,Fog,Dusk,None,Yes (Artillery & Close Air Support),Guerrilla Tactics,Return Fire Only,8
12,Battalion,Reconnaissance,Rookie,Advanced Weaponry,Decentralized (Limited Communication),Well-Supplied,195,Armored,Standard Equipment,Low,Tactical Genius,Counter-insurgency,Forest,Extreme Cold,Night,Low,Yes (Naval Gunfire),Infiltration,Non-Lethal Force Only,1
4,Company,Reconnaissance,Mixed,Standard Issue,Centralized (Strict Hierarchy),Minimal,127,Mechanized Infantry,Advanced Communication,Low,Incompetent,Secure Objective,Coastal,Thunderstorm,Night,Medium,Yes (Air & Artillery),Encirclement,Non-Lethal Force Only,9
6,Fire Team,Airborne,Mixed,Advanced Weaponry,Centralized,Minimal,337,Drone Operators,Improvised Explosive Devices (IEDs),High,Charismatic Leader,Eliminate Enemy Force,Coastal,Blizzard,Dusk,Low,Yes (Artillery),Aggressive Push,Weapons Free,9
8,Company,Special Forces,Rookie,Specialized Gear,Decentralized,Well-Supplied,402,Guerrilla,Standard Equipment,Medium,Strong,Counter-insurgency,Desert,Clear,Night,Medium,Yes (Air & Artillery),Aggressive Push,Observe and Report,4
5,Squad,Special Forces,Rookie,Riot Gear,Centralized (Flexible),Minimal,105,Armored,Advanced Communication,Fanatical,Competent,Eliminate Enemy Force,Rural,Clear,Dawn,High,Yes (Artillery & Close Air Support),Encirclement,Return Fire Only,6
159,Platoon,Combat Medic Team,Elite,Medical Supplies,Centralized (Flexible),Well-Supplied,493,Guerrilla,Advanced Communication,Fanatical,Incompetent,Eliminate Enemy Force,Urban,Sandstorm,Day,Medium,No,Infiltration,Minimize Collateral Damage,2
6,Platoon,Combat Medic Team,Mixed,Medical Supplies,Decentralized,Adequate,316,Cyber Warfare,Sniper Teams,Fanatical,Tactical Genius,Infrastructure Protection,Rural,Snow,Day,Low,Yes (Artillery & Close Air Support),Encirclement,Non-Lethal Force Only,3
129,Platoon,Mechanized,Mixed,Specialized Gear,Centralized,Well-Supplied,387,Drone Operators,Sniper Teams,High,Tactical Genius,Peacekeeping,Urban,Light Rain,Dusk,Medium,Yes (Naval Gunfire),Infiltration,Weapons Free,8
6,Squad,Mechanized,Elite,Specialized Gear,Decentralized,Basic,51,Special Forces,Advanced Communication,Medium,Strong,Cyber Defense,Rural,Clear,Day,Low,Yes (Air Support),Static Defense,Observe and Report,6
976,Fire Team,Airborne,Mixed,Basic (Limited Ammo),Centralized (Flexible),Overstocked,211,Cyber Warfare,Standard Equipment,Fanatical,Strong,Reconnaissance,Forest,Cloudy,Dusk,None,Yes (Artillery & Close Air Support),Encirclement,Return Fire Only,2
235,Fire Team,Combat Medic Team,Mixed,Medical Supplies,Centralized (Strict Hierarchy),Minimal,199,Guerrilla,Advanced Communication,High,Tactical Genius,Reconnaissance,Island,Extreme Heat,Dawn,Low,Yes (Air & Artillery),Patrolling,Minimize Collateral Damage,4
439,Platoon,Military Police,Veteran,Riot Gear,Centralized (Strict Hierarchy),Adequate,249,Irregular Militia,Improvised Explosive Devices (IEDs),Medium,Strong,Cyber Defense,Urban,Sandstorm,Night,Medium,Yes (Air & Artillery),Static Defense,Protect Civilians at All Costs,8
36,Platoon,Engineers,Mixed,Advanced Weaponry,Decentralized,Basic,431,Guerrilla,Improvised Explosive Devices (IEDs),High,Charismatic Leader,Peacekeeping,Forest,Thunderstorm,Night,None,No,Guerrilla Tactics,Return Fire Only,6
35,Squad,Airborne,Elite,Riot Gear,Centralized (Strict Hierarchy),Minimal,341,Drone Operators,Advanced Communication,High,Charismatic Leader,Rescue/Evacuation,Mountain,Extreme Cold,Day,Medium,Yes (Naval Gunfire),Static Defense,Return Fire Only,7
22,Battalion,Infantry,Mixed,Standard Issue,Centralized,Basic,16,Light Infantry,Advanced Communication,Low,Weak,Eliminate Enemy Force,Mountain,Thunderstorm,Night,Medium,Yes (Naval Gunfire),Encirclement,Minimize Collateral Damage,7
109,Squad,Airborne,Rookie,Advanced Weaponry,Centralized (Flexible),Well-Supplied,482,Guerrilla,Standard Equipment,Medium,Weak,Eliminate Enemy Force,Coastal,Blizzard,Dawn,Low,No,Encirclement,Protect Civilians at All Costs,6
5,Platoon,Military Police,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Basic,207,Cyber Warfare,Sniper Teams,Fanatical,Competent,Rescue/Evacuation,Rural,Clear,Night,High,Yes (Artillery),Patrolling,Non-Lethal Force Only,2
511,Squad,Special Forces,Rookie,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,254,Armored,Standard Equipment,Low,Strong,Reconnaissance,Arctic,Sandstorm,Dawn,None,Yes (Artillery),Tactical Retreat,Protect Civilians at All Costs,7
27,Platoon,Mechanized,Elite,Standard Issue,Decentralized (Limited Communication),Minimal,67,Irregular Militia,Sniper Teams,High,Tactical Genius,Infrastructure Protection,Coastal,Sandstorm,Day,High,Yes (Artillery & Close Air Support),Aggressive Push,Observe and Report,2
363,Battalion,Special Forces,Elite,Basic (Limited Ammo),Centralized (Flexible),Well-Supplied,86,Armored,Improvised Explosive Devices (IEDs),Fanatical,Incompetent,Secure Objective,Arctic,Fog,Night,Low,Yes (Air & Artillery),Infiltration,Non-Lethal Force Only,7
10,Squad,Armored,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Overstocked,214,Armored,Sniper Teams,Fanatical,Tactical Genius,Peacekeeping,Desert,Thunderstorm,Day,Low,Yes (Air & Artillery),Static Defense,Observe and Report,2
682,Company,Infantry,Elite,Specialized Gear,Centralized,Minimal,266,Light Infantry,Advanced Communication,Low,Charismatic Leader,Cyber Defense,Jungle,Light Rain,Dusk,High,Yes (Artillery),Infiltration,Return Fire Only,6
916,Fire Team,Armored,Rookie,Advanced Weaponry,Centralized,Overstocked,172,Irregular Militia,Improvised Explosive Devices (IEDs),High,Weak,Infrastructure Protection,Forest,Extreme Cold,Night,Medium,Yes (Artillery),Tactical Retreat,Weapons Free,7
9,Squad,Armored,Veteran,Basic (Limited Ammo),Centralized,Adequate,55,Armored,Advanced Communication,High,Strong,Eliminate Enemy Force,Desert,Fog,Dawn,High,Yes (Naval Gunfire),Infiltration,Weapons Free,6
477,Battalion,Mechanized,Rookie,Medical Supplies,Decentralized,Well-Supplied,500,Drone Operators,Standard Equipment,Medium,Competent,Reconnaissance,Coastal,Snow,Dawn,High,Yes (Artillery),Static Defense,Return Fire Only,4
8,Platoon,Military Police,Elite,Basic (Limited Ammo),Centralized,Adequate,166,Light Infantry,Advanced Communication,High,Strong,Reconnaissance,Urban,Heavy Rain,Dawn,None,Yes (Air Support),Static Defense,Return Fire Only,4
129,Battalion,Combat Medic Team,Rookie,Specialized Gear,Centralized,Well-Supplied,441,Guerrilla,Standard Equipment,Fanatical,Competent,Reconnaissance,Urban,Sandstorm,Night,High,Yes (Artillery),Aggressive Push,Protect Civilians at All Costs,2
39,Platoon,Airborne,Veteran,Advanced Weaponry,Decentralized (Limited Communication),Basic,376,Irregular Militia,Improvised Explosive Devices (IEDs),Fanatical,Weak,Reconnaissance,Suburban,Blizzard,Dusk,High,Yes (Artillery & Close Air Support),Patrolling,Minimize Collateral Damage,1
213,Company,Infantry,Mixed,Standard Issue,Decentralized,Minimal,299,Special Forces,Advanced Communication,Fanatical,Strong,Counter-insurgency,Mountain,Extreme Heat,Dusk,Low,Yes (Artillery),Patrolling,Weapons Free,4
35,Company,Engineers,Elite,Standard Issue,Centralized,Well-Supplied,433,Mechanized Infantry,Sniper Teams,Low,Weak,Secure Objective,Urban,Extreme Heat,Night,None,Yes (Air Support),Aggressive Push,Non-Lethal Force Only,4
588,Company,Military Police,Veteran,Specialized Gear,Centralized,Overstocked,138,Light Infantry,Standard Equipment,Medium,Incompetent,Counter-insurgency,Urban,Extreme Heat,Night,High,Yes (Naval Gunfire),Tactical Retreat,Non-Lethal Force Only,4
28,Platoon,Engineers,Veteran,Basic (Limited Ammo),Centralized,Overstocked,466,Armored,Improvised Explosive Devices (IEDs),High,Tactical Genius,Cyber Defense,Suburban,Extreme Heat,Night,Low,Yes (Air Support),Tactical Retreat,Protect Civilians at All Costs,9
40,Fire Team,Infantry,Elite,Standard Issue,Decentralized,Well-Supplied,430,Armored,Standard Equipment,Fanatical,Strong,Peacekeeping,Arctic,Cloudy,Dawn,None,Yes (Air & Artillery),Static Defense,Non-Lethal Force Only,1
27,Battalion,Special Forces,Mixed,Basic (Limited Ammo),Decentralized (Limited Communication),Adequate,298,Armored,Improvised Explosive Devices (IEDs),High,Competent,Reconnaissance,Jungle,Blizzard,Night,High,No,Aggressive Push,Protect Civilians at All Costs,4
94,Company,Engineers,Rookie,Basic (Limited Ammo),Centralized,Minimal,494,Cyber Warfare,Sniper Teams,High,Charismatic Leader,Infrastructure Protection,Suburban,Thunderstorm,Day,Medium,Yes (Artillery),Static Defense,Protect Civilians at All Costs,4
12,Fire Team,Combat Medic Team,Mixed,Advanced Weaponry,Centralized (Flexible),Well-Supplied,276,Light Infantry,Sniper Teams,Fanatical,Strong,Cyber Defense,Island,Clear,Day,None,Yes (Naval Gunfire),Infiltration,Protect Civilians at All Costs,3
6,Platoon,Special Forces,Veteran,Medical Supplies,Centralized (Strict Hierarchy),Well-Supplied,292,Mechanized Infantry,Advanced Communication,Medium,Charismatic Leader,Counter-insurgency,Suburban,Blizzard,Day,None,Yes (Artillery),Patrolling,Non-Lethal Force Only,3
17,Platoon,Reconnaissance,Elite,Specialized Gear,Centralized,Well-Supplied,41,Special Forces,Sniper Teams,Low,Strong,Peacekeeping,Urban,Cloudy,Night,High,Yes (Artillery),Tactical Retreat,Weapons Free,2
319,Squad,Airborne,Veteran,Standard Issue,Centralized (Strict Hierarchy),Adequate,499,Drone Operators,Improvised Explosive Devices (IEDs),Low,Strong,Peacekeeping,Coastal,Snow,Dusk,Medium,Yes (Air Support),Aggressive Push,Observe and Report,8
5,Battalion,Combat Medic Team,Mixed,Specialized Gear,Centralized (Flexible),Overstocked,426,Special Forces,Advanced Communication,Fanatical,Competent,Cyber Defense,Arctic,Extreme Heat,Dawn,Low,Yes (Artillery & Close Air Support),Infiltration,Return Fire Only,9
20,Fire Team,Military Police,Mixed,Advanced Weaponry,Decentralized,Basic,121,Drone Operators,Advanced Communication,Medium,Charismatic Leader,Rescue/Evacuation,Rural,Extreme Cold,Dusk,Medium,Yes (Air Support),Infiltration,Return Fire Only,6
933,Fire Team,Infantry,Elite,Medical Supplies,Centralized,Minimal,339,Mechanized Infantry,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Reconnaissance,Forest,Extreme Heat,Night,Medium,Yes (Artillery),Tactical Retreat,Observe and Report,5
5,Fire Team,Infantry,Veteran,Basic (Limited Ammo),Centralized (Strict Hierarchy),Basic,490,Mechanized Infantry,Sniper Teams,High,Incompetent,Infrastructure Protection,Rural,Cloudy,Night,High,No,Aggressive Push,Non-Lethal Force Only,4
114,Platoon,Engineers,Elite,Basic (Limited Ammo),Centralized (Strict Hierarchy),Overstocked,283,Cyber Warfare,Standard Equipment,Low,Incompetent,Rescue/Evacuation,Arctic,Sandstorm,Dawn,None,Yes (Artillery & Close Air Support),Guerrilla Tactics,Non-Lethal Force Only,2
709,Company,Combat Medic Team,Mixed,Medical Supplies,Decentralized,Minimal,78,Drone Operators,Advanced Communication,Low,Tactical Genius,Counter-insurgency,Suburban,Sandstorm,Night,Low,Yes (Naval Gunfire),Static Defense,Minimize Collateral Damage,8
4,Company,Reconnaissance,Mixed,Advanced Weaponry,Centralized (Flexible),Basic,491,Armored,Advanced Communication,Fanatical,Competent,Eliminate Enemy Force,Forest,Clear,Day,None,Yes (Air & Artillery),Tactical Retreat,Return Fire Only,5
226,Fire Team,Engineers,Veteran,Medical Supplies,Centralized (Strict Hierarchy),Adequate,372,Light Infantry,Sniper Teams,Medium,Weak,Cyber Defense,Arctic,Extreme Cold,Dusk,High,Yes (Air Support),Infiltration,Non-Lethal Force Only,4
8,Fire Team,Mechanized,Rookie,Specialized Gear,Centralized (Flexible),Well-Supplied,100,Light Infantry,Standard Equipment,Fanatical,Tactical Genius,Counter-insurgency,Rural,Fog,Night,High,Yes (Artillery),Patrolling,Minimize Collateral Damage,3
934,Fire Team,Reconnaissance,Elite,Specialized Gear,Centralized (Strict Hierarchy),Minimal,30,Mechanized Infantry,Standard Equipment,Low,Tactical Genius,Counter-insurgency,Rural,Heavy Rain,Night,Low,Yes (Air Support),Tactical Retreat,Minimize Collateral Damage,8
6,Platoon,Airborne,Veteran,Standard Issue,Centralized (Strict Hierarchy),Basic,180,Light Infantry,Sniper Teams,Fanatical,Tactical Genius,Reconnaissance,Jungle,Cloudy,Night,Low,No,Encirclement,Minimize Collateral Damage,9
22,Battalion,Infantry,Rookie,Riot Gear,Centralized (Flexible),Overstocked,374,Drone Operators,Sniper Teams,Low,Weak,Eliminate Enemy Force,Urban,Extreme Heat,Night,Medium,Yes (Air & Artillery),Aggressive Push,Return Fire Only,7
5,Platoon,Infantry,Elite,Specialized Gear,Centralized (Flexible),Adequate,114,Armored,Standard Equipment,High,Competent,Reconnaissance,Island,Extreme Cold,Day,Low,Yes (Artillery),Static Defense,Weapons Free,6
24,Fire Team,Engineers,Veteran,Riot Gear,Decentralized (Limited Communication),Well-Supplied,55,Irregular Militia,Advanced Communication,High,Competent,Counter-insurgency,Suburban,Cloudy,Night,High,Yes (Naval Gunfire),Aggressive Push,Weapons Free,2
806,Fire Team,Airborne,Rookie,Medical Supplies,Centralized,Overstocked,302,Cyber Warfare,Sniper Teams,Fanatical,Strong,Reconnaissance,Suburban,Fog,Night,Low,Yes (Artillery & Close Air Support),Aggressive Push,Weapons Free,7
4,Battalion,Mechanized,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Basic,99,Armored,Advanced Communication,Low,Competent,Reconnaissance,Coastal,Light Rain,Night,High,Yes (Air & Artillery),Guerrilla Tactics,Protect Civilians at All Costs,4
39,Fire Team,Infantry,Elite,Riot Gear,Decentralized,Well-Supplied,180,Armored,Sniper Teams,Medium,Weak,Cyber Defense,Urban,Clear,Dawn,Low,Yes (Naval Gunfire),Guerrilla Tactics,Weapons Free,3
103,Company,Reconnaissance,Mixed,Riot Gear,Centralized (Strict Hierarchy),Minimal,164,Light Infantry,Advanced Communication,Medium,Strong,Counter-insurgency,Urban,Clear,Dusk,None,Yes (Naval Gunfire),Aggressive Push,Protect Civilians at All Costs,9
947,Squad,Military Police,Rookie,Advanced Weaponry,Centralized,Minimal,308,Special Forces,Advanced Communication,High,Strong,Reconnaissance,Arctic,Clear,Dusk,Low,Yes (Air & Artillery),Tactical Retreat,Return Fire Only,7
5,Company,Airborne,Veteran,Medical Supplies,Decentralized,Overstocked,64,Light Infantry,Advanced Communication,Low,Weak,Infrastructure Protection,Forest,Fog,Day,High,No,Encirclement,Non-Lethal Force Only,9
12,Company,Airborne,Mixed,Specialized Gear,Decentralized (Limited Communication),Well-Supplied,260,Cyber Warfare,Improvised Explosive Devices (IEDs),Fanatical,Strong,Secure Objective,Rural,Blizzard,Dawn,None,No,Tactical Retreat,Weapons Free,6
348,Battalion,Airborne,Veteran,Riot Gear,Centralized,Basic,439,Guerrilla,Standard Equipment,High,Competent,Infrastructure Protection,Mountain,Thunderstorm,Day,Low,Yes (Air & Artillery),Patrolling,Observe and Report,2
11,Squad,Combat Medic Team,Veteran,Standard Issue,Decentralized,Minimal,447,Special Forces,Standard Equipment,Fanatical,Tactical Genius,Counter-insurgency,Island,Extreme Heat,Dawn,Medium,Yes (Artillery),Aggressive Push,Non-Lethal Force Only,7
102,Squad,Reconnaissance,Veteran,Medical Supplies,Centralized,Well-Supplied,129,Cyber Warfare,Standard Equipment,Medium,Competent,Rescue/Evacuation,Coastal,Thunderstorm,Dusk,High,No,Static Defense,Protect Civilians at All Costs,7
